家居用品,家纺成品,胖被子,-,2.02%,0.91%,0.97%,0.22%,47.49%
家居用品,家纺成品,窗帘,-,18.08%,22.08%,16.6%,16.81%,59.68%
家居用品,家纺成品,坐垫/靠垫,-,18.14%,13.48%,12.38%,19.6%,88.22%
家居用品,家纺成品,垫套,-,12.46%,8.29%,5.22%,7.94%,147.65%
家居用品,家纺成品,门窗纱,-,3.09%,2.06%,0.82%,2.59%,14.36%
家居用品,家纺成品,被套,-,0.74%,0.36%,0.17%,0.07%,64.2%
家居用品,家纺成品,手帕,-,0.6%,0.25%,0.11%,0.13%,80.79%
家居用品,家纺成品,地垫,-,8.13%,5.38%,2.01%,2.64%,76.4%
家居用品,家纺成品,床垫套,-,1.55%,0.7%,0.39%,0.2%,24.08%
家居用品,家纺成品,蚊帐,-,2.76%,1.7%,1.06%,2.39%,16.59%
家居用品,家纺成品,其它家纺用品,-,3.75%,1.75%,1.07%,2.94%,30.44%
家居用品,家纺成品,枕头（婴儿用的请发布到婴儿枕头下）,-,8.83%,5.15%,3.1%,4.92%,31.77%
家居用品,家纺成品,枕套（婴儿用的请发布到婴儿枕套下）,-,16.32%,9.79%,4.4%,7.16%,338.13%
家居用品,家纺成品,绗缝被,-,0.74%,0.45%,0.25%,0.07%,75.5%
家居用品,家纺成品,小地毯,-,0.97%,0.43%,0.16%,0.05%,55.81%
家居用品,家纺成品,椅子飘带,-,1.5%,0.65%,1.52%,0.28%,206.28%
家居用品,家纺成品,床单（婴儿用的请发布到婴儿床单下）,-,1.9%,1.02%,0.71%,0.42%,44.34%
家居用品,家纺成品,沙发套,-,2.88%,2.11%,1.54%,0.55%,31.45%
家居用品,家纺成品,桌布,-,7.8%,5.44%,3.36%,2.33%,83.62%
家居用品,家纺成品,餐巾,-,2.07%,0.79%,0.42%,0.17%,46.9%
家居用品,家纺成品,桌旗,-,2.84%,1.48%,1.16%,0.75%,73.14%
家居用品,家纺成品,桌裙,-,1.3%,0.5%,0.31%,0.15%,24.08%
家居用品,家纺成品,挂毯,-,1.01%,0.47%,0.13%,0.03%,30.38%
家居用品,家纺成品,盖毯,-,0.89%,0.39%,0.07%,0.03%,37.14%
家居用品,家纺成品,毛巾/浴巾（婴儿用的请发布到婴儿毛巾下）,-,11.12%,8.16%,7.12%,13.54%,65.61%
家居用品,家纺成品,短帷幕,-,0.21%,0.07%,0.03%,0.0%,16.41%
家居用品,家装,卫浴五金件,-,36.0%,27.78%,17.3%,31.17%,71.5%
家居用品,家装,龙头，阀门,-,40.81%,38.33%,56.53%,61.31%,97.47%
家居用品,家装,墙纸,-,37.58%,39.75%,26.15%,7.74%,115.02%
家居用品,家庭清洁用具及附件,围裙,-,18.87%,18.18%,10.22%,7.11%,136.47%
家居用品,家庭清洁用具及附件,扫帚和畚箕,-,1.1%,0.66%,0.32%,0.14%,102.97%
家居用品,家庭清洁用具及附件,桶,-,2.6%,1.64%,0.51%,0.24%,62.51%
家居用品,家庭清洁用具及附件,清洁刷,-,30.44%,27.59%,15.73%,25.58%,118.74%
家居用品,家庭清洁用具及附件,清洁布,-,14.82%,12.61%,5.17%,6.21%,147.3%
家居用品,家庭清洁用具及附件,掸子,-,1.88%,1.18%,0.76%,0.6%,106.86%
家居用品,家庭清洁用具及附件,家用日化产品,-,12.83%,8.7%,3.72%,3.85%,76.11%
家居用品,家庭清洁用具及附件,家用手套,-,14.22%,15.55%,19.54%,3.69%,65.9%
家居用品,家庭清洁用具及附件,洗衣产品,-,10.66%,9.13%,4.69%,5.59%,121.01%
家居用品,家庭清洁用具及附件,毛球修剪器,-,7.46%,5.33%,5.22%,7.89%,44.61%
家居用品,家庭清洁用具及附件,滚筒式黏毛棒和刷,-,6.77%,4.8%,1.78%,2.69%,77.85%
家居用品,家庭清洁用具及附件,拖把,-,6.24%,5.06%,3.01%,1.36%,48.72%
家居用品,家庭清洁用具及附件,袖套,-,1.36%,1.06%,3.03%,0.16%,125.4%
家居用品,家庭清洁用具及附件,鞋刷,-,2.25%,1.56%,0.53%,0.79%,143.25%
家居用品,家庭清洁用具及附件,"擦洗用垫,清洁球和海绵",-,18.77%,17.83%,23.46%,33.1%,75.32%
家居用品,家庭清洁用具及附件,橡胶清洁刮刀,-,1.7%,0.92%,0.13%,0.14%,62.67%
家居用品,家庭清洁用具及附件,垃圾桶,-,5.68%,4.19%,2.18%,1.47%,87.14%
家居用品,家居日用品,防尘保护罩,-,0.65%,0.26%,0.0%,0.0%,20.75%
家居用品,家居日用品,打火机和烟具,-,45.23%,48.05%,55.32%,62.75%,80.64%
家居用品,家居日用品,雨具,-,35.54%,31.69%,24.62%,17.17%,114.04%
家居用品,家居日用品,保暖用品,-,0.59%,0.33%,0.08%,0.13%,9.23%
家居用品,厨房吧台用品,烧烤用品,-,4.72%,2.73%,1.6%,1.11%,31.94%
家居用品,厨房吧台用品,烘培用具,-,36.23%,36.75%,33.79%,42.21%,187.85%
家居用品,厨房吧台用品,酒吧酒具,-,9.94%,5.71%,5.19%,3.13%,81.44%
家居用品,厨房吧台用品,烹调工具,-,34.7%,26.97%,23.69%,31.89%,80.75%
家居用品,厨房吧台用品,炊具,-,6.28%,4.11%,1.43%,0.86%,36.51%
家居用品,厨房吧台用品,饮具,-,27.17%,19.29%,16.24%,10.54%,74.97%
家居用品,厨房吧台用品,厨房刀具及附件,-,11.96%,8.84%,10.06%,5.04%,44.54%
家居用品,厨房吧台用品,桌面装饰品及附件,-,9.25%,5.57%,2.64%,1.99%,108.2%
